"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250524","출발시간","1215","ST-12","신촌동_032_1","ST-18","서교동_004_1","1","2","320"
"20250524","출발시간","2215","ST-59","여의동_051_6","ST-952","조원동_015_5","2","93","14536"
"20250524","출발시간","1405","ST-3328","답십리1동_028_1","ST-609","상계3,4동_006_1","1","77","19519"
"20250524","출발시간","1605","ST-2087","중계2,3동_045_1","ST-3262","하계1동_005_1","1","12","1370"
"20250524","출발시간","1250","ST-2309","구의3동_044_1","ST-2309","구의3동_044_1","1","101","1330"
"20250524","출발시간","1750","ST-709","미성동_015_1","ST-705","난곡동_008_1","1","3","492"
"20250524","출발시간","1645","ST-2996","신사동_026_1","ST-2996","신사동_026_1","1","27","2189"
"20250524","출발시간","2140","ST-1841","성내2동_036_1","ST-2574","풍납2동_049_3","1","16","2637"
"20250524","출발시간","2300","ST-1070","송파1동_014_1","ST-2738","둔촌2동_026_1","2","73","9670"
"20250524","출발시간","1425","ST-1343","원효로2동_025_1","ST-69","여의동_049_1","1","38","2103"
"20250524","출발시간","1520","ST-1034","증산동_030_1","ST-2905","망원1동_005_1","1","41","3479"
"20250524","출발시간","2040","ST-2716","상계6,7동_037_1","ST-3262","하계1동_005_1","1","12","2120"
"20250524","출발시간","2300","ST-1337","중앙동_029_1","ST-1546","조원동_019_1","1","19","3837"
"20250524","출발시간","1430","ST-2017","목1동_031_1","ST-315","신정6동_017_1","1","13","982"
"20250524","출발시간","1140","ST-1854","장지동_056_1","ST-2587","문정1동_038_1","1","8","908"
"20250524","출발시간","1615","ST-285","문래동_008_1","ST-2564","문래동_014_1","1","119","973"
"20250524","출발시간","2055","ST-2264","역촌동_068_1","ST-1331","응암3동_023_1","1","67","17109"
"20250524","출발시간","1905","ST-1546","조원동_019_1","ST-1144","독산3동_004_1","1","12","1317"
"20250524","출발시간","0945","ST-3021","대흥동_013_1","ST-2528","공덕동_009_2","1","5","810"
"20250524","출발시간","0945","ST-124","사직동_009_4","ST-3051","충현동_013_1","1","6","810"
"20250524","출발시간","0930","ST-1668","명동_001_10","ST-124","사직동_009_4","1","4","839"
"20250524","출발시간","1050","ST-116","소공동_002_1","ST-2693","명동_001_22","1","7","1075"
"20250524","출발시간","0100","ST-1543","신대방2동_007_2","ST-701","상도2동_036_1","2","25","4313"
"20250524","출발시간","1415","ST-1531","구로1동_003_1","ST-1731","목1동_003_5","2","43","7638"
"20250524","출발시간","1450","ST-2355","사당1동_034_1","ST-2355","사당1동_034_1","1","51","3932"
"20250524","출발시간","1745","ST-170","가회동_009_1","ST-1807","종로1,2,3,4가동_007_1","1","4","830"
"20250524","출발시간","1755","ST-3177","창4동_038_2","ST-1639","상계8동_030_1","1","47","2669"
"20250524","출발시간","0930","ST-2309","구의3동_044_1","ST-255","구의3동_001_4","1","3","350"
"20250524","출발시간","1815","ST-1795","풍납2동_049_2","ST-541","풍납2동_024_1","1","32","576"
"20250524","출발시간","2110","ST-401","이문1동_026_1","ST-2289","묵2동_007_1","1","20","3330"
"20250524","출발시간","0655","ST-2075","월계3동_003_1","ST-857","중화1동_001_1","1","16","2558"
"20250524","출발시간","1825","ST-1705","잠실2동_004_1","ST-6","서교동_011_1","1","83","22707"
"20250524","출발시간","1605","ST-249","사근동_007_1","ST-1629","전농1동_059_1","2","26","3086"
